trial,step,mean_ep_reward
3,52,3.78
3,8000,16.28
3,16000,41.14
3,24000,71.87
3,32000,117.86
3,40000,154.33
3,48000,168.44
3,56000,179.08
3,64000,187.5
3,72000,200.25
3,80000,205.76
3,88000,215.29
3,96000,224.39
3,104000,253.23
3,112000,273.47
3,120000,291.84
3,128000,302.88
3,136000,323.12
3,144000,322.26
3,152000,308.81
3,160000,308.51
3,168000,305.1
3,176000,309.25
3,184000,309.72
3,192000,314.49
3,200000,337.42
