trial,step,mean_ep_reward
3,32,2.41
3,8000,16.85
3,16000,43.83
3,24000,86.91
3,32000,131.07
3,40000,179.91
3,48000,234.28
3,56000,280.52
3,64000,335.11
3,72000,375.88
3,80000,406.6
3,88000,437.15
3,96000,458.01
3,104000,474.61
3,112000,489.56
3,120000,501.31
3,128000,509.52
3,136000,516.11
3,144000,520.47
3,152000,524.59
3,160000,527.51
3,168000,529.28
3,176000,531.03
3,184000,532.67
3,192000,533.84
3,200000,535.12
